row  column  (images_14_017.edf P-K*images_14_017.edf Ar-K**(2.3))
13  65  9.78958e+06
13  66  3.00119e+06
13  67  9.97773e+06
13  68  1.35801e+07
13  69  1.03578e+07
13  70  1.50054e+07
13  71  9.93688e+06
13  72  1.12491e+07
13  73  1.1075e+07
13  74  9.88295e+06
13  75  8.4013e+06
13  76  7.80289e+06
13  77  7.3168e+06
13  78  6.98537e+06
13  79  0
13  80  0
13  81  1.37977e+06
13  82  0
13  83  1.20264e+06
13  84  0
13  85  1.35116e+06
13  86  409359
13  87  0
13  88  966090
13  89  0
13  90  0
13  91  0
13  92  0
13  93  0
13  94  0
13  95  0
13  96  1.40406e+06
13  97  120477
13  98  488660
13  99  0
13  100  4.1794e+06
14  0  0
14  1  0
14  2  0
14  3  0
14  4  0
14  5  0
14  6  1.02358e+06
14  7  1.81806e+06
14  8  1.49721e+06
14  9  0
14  10  5.54423e+06
14  11  8.39145e+06
14  12  0
14  13  1.79788e+06
14  14  5.78498e+06
14  15  5.77065e+06
14  16  2.43161e+06
14  17  6.38734e+06
14  18  6.44835e+06
14  19  5.45876e+06
14  20  1.80781e+06
14  21  0
14  22  4.90169e+06
14  23  9.79647e+06
14  24  7.52019e+06
14  25  2.00644e+06
14  26  9.13745e+06
14  27  2.52072e+06
14  28  7.42891e+06
14  29  2.38967e+06
