row  column  (images_7.edf S-K*images_7.edf Ar-K**2.3)
9  41  8.89527e+07
9  42  8.91195e+07
9  43  8.20422e+07
9  44  9.66901e+07
9  45  7.41309e+07
9  46  7.64138e+07
9  47  6.31346e+07
9  48  6.7571e+07
9  49  7.41154e+07
9  50  5.50987e+07
9  51  9.26023e+07
9  52  7.26182e+07
9  53  7.62414e+07
9  54  7.95352e+07
9  55  7.50186e+07
9  56  1.01915e+08
9  57  6.41784e+07
9  58  7.67014e+07
9  59  9.85504e+07
9  60  7.25408e+07
9  61  7.87552e+07
9  62  1.12774e+08
9  63  9.16572e+07
9  64  1.08157e+08
9  65  8.39894e+07
9  66  8.4054e+07
9  67  8.97187e+07
9  68  8.43961e+07
9  69  8.44948e+07
9  70  9.98824e+07
9  71  7.95724e+07
9  72  7.1098e+07
9  73  7.98547e+07
9  74  6.49629e+07
9  75  5.17645e+07
9  76  6.47422e+07
9  77  4.06174e+07
9  78  4.25246e+07
9  79  5.52797e+07
9  80  4.25754e+07
9  81  5.30586e+07
9  82  5.80071e+07
9  83  3.13694e+07
9  84  3.14256e+07
9  85  4.27869e+07
9  86  2.7871e+07
9  87  3.00113e+07
9  88  3.29863e+07
9  89  2.97822e+07
9  90  3.11197e+07
9  91  2.54497e+07
9  92  2.87739e+07
9  93  1.68004e+07
9  94  2.91805e+07
9  95  1.74206e+07
9  96  1.46022e+07
9  97  3.593e+07
9  98  2.25942e+07
9  99  4.43201e+07
9  100  3.62993e+07
10  0  642423
10  1  612274
10  2  2.81097e+06
10  3  3.24966e+06
10  4  8.74493e+06
10  5  9.31346e+06
10  6  3.75193e+06
10  7  5.93383e+06
10  8  2.33501e+07
10  9  2.25487e+07
10  10  2.60749e+07
10  11  2.75216e+07
10  12  3.21852e+07
10  13  4.32674e+07
10  14  4.39571e+07
10  15  5.87113e+07
10  16  5.06744e+07
10  17  6.33062e+07
10  18  8.90531e+07
10  19  6.25593e+07
10  20  7.09613e+07
10  21  7.77263e+07
10  22  6.74249e+07
10  23  6.22418e+07
10  24  5.02028e+07
10  25  6.68049e+07
10  26  8.0467e+07
10  27  7.1314e+07
10  28  5.41144e+07
10  29  9.15229e+07
10  30  7.62917e+07
10  31  8.10237e+07
10  32  6.87668e+07
10  33  6.72122e+07
10  34  1.0359e+08
10  35  8.30399e+07
10  36  9.81002e+07
10  37  1.04846e+08
10  38  9.09259e+07
10  39  9.76243e+07
