row  column  (images_4.edf P-K*images_4.edf Ar-K**2.3)
10  86  7.51579e+06
10  87  6.96406e+06
10  88  6.46502e+06
10  89  3.49968e+06
10  90  1.3495e+06
10  91  7.64709e+06
10  92  0
10  93  0
10  94  4.07314e+06
10  95  1.40603e+06
10  96  7.61656e+06
10  97  4.86325e+06
10  98  2.60277e+06
10  99  1.23407e+07
10  100  6.51375e+06
11  0  8.5942e+06
11  1  4.49557e+06
11  2  5.68841e+06
11  3  6.31883e+06
11  4  9.7281e+06
11  5  7.88677e+06
11  6  4.42088e+06
11  7  2.32229e+06
11  8  7.67538e+06
11  9  8.67057e+06
11  10  8.73619e+06
11  11  1.33958e+07
11  12  1.06941e+07
11  13  2.86186e+06
11  14  3.848e+06
11  15  6.06916e+06
11  16  1.14281e+06
11  17  2.01485e+06
11  18  1.95321e+06
11  19  1.65424e+06
11  20  2.69988e+06
11  21  1.86892e+06
11  22  0
11  23  887863
11  24  820868
11  25  0
11  26  1.27813e+06
11  27  1.09058e+06
11  28  1.20927e+06
11  29  2.63541e+06
11  30  2.41792e+06
11  31  1.28332e+06
11  32  6.04567e+06
11  33  473913
11  34  0
11  35  0
11  36  3.16316e+06
11  37  1.58411e+06
11  38  8.16637e+06
11  39  1.72163e+06
11  40  3.43488e+06
11  41  3.45476e+06
11  42  0
11  43  1.67014e+06
11  44  4.33939e+06
11  45  0
11  46  1.10937e+06
11  47  3.65387e+06
11  48  0
11  49  2.2663e+06
11  50  0
11  51  3.40501e+06
11  52  2.17899e+06
11  53  1.77791e+06
11  54  0
11  55  0
11  56  2.55756e+06
11  57  1.7769e+06
11  58  4.159e+06
11  59  766402
11  60  2.47616e+06
11  61  4.23061e+06
11  62  4.84264e+06
11  63  493734
11  64  5.54095e+06
11  65  5.34081e+06
11  66  0
11  67  4.51731e+06
11  68  56946.7
11  69  1.95151e+06
11  70  6.44918e+06
11  71  4.33689e+06
11  72  4.08665e+06
11  73  4.70818e+06
11  74  6.78995e+06
11  75  1.32921e+07
11  76  9.89518e+06
11  77  8.67691e+06
11  78  9.16883e+06
11  79  0
11  80  2.87614e+06
11  81  4.01976e+06
11  82  4.38014e+06
11  83  1.22372e+06
11  84  3.98529e+06
11  85  9.85621e+06
11  86  5.601e+06
11  87  6.67369e+06
11  88  2.29058e+06
11  89  3.35108e+06
11  90  767121
11  91  199969
11  92  1.23311e+06
11  93  7.68132e+06
11  94  8.45909e+06
11  95  9.89386e+06
11  96  1.11655e+06
11  97  1.17819e+06
11  98  7.69781e+06
11  99  6.86821e+06
11  100  1.09408e+07
12  0  7.40693e+06
12  1  1.18211e+07
12  2  5.07876e+06
12  3  7.4411e+06
12  4  6.70879e+06
12  5  2.27353e+06
12  6  4.17084e+06
12  7  5.08556e+06
12  8  7.92723e+06
12  9  1.3868e+07
12  10  1.26519e+07
12  11  1.77566e+07
12  12  2.41536e+06
12  13  2.44229e+06
12  14  1.26107e+06
12  15  3.16713e+06
12  16  516312
12  17  0
12  18  1.51417e+06
12  19  0
12  20  1.6558e+06
12  21  2.70205e+06
12  22  3.4792e+06
12  23  1.99211e+06
12  24  0
12  25  0
12  26  0
12  27  1.42864e+06
12  28  0
12  29  921718
12  30  2.9007e+06
12  31  0
12  32  0
12  33  1.13948e+06
12  34  7.53426e+06
12  35  1.02251e+06
12  36  4.07651e+06
12  37  2.15022e+06
12  38  0
12  39  2.59468e+06
12  40  1.44795e+06
12  41  3.59543e+06
12  42  834387
12  43  519920
12  44  0
12  45  899781
12  46  8.7761e+06
12  47  5.82236e+06
12  48  1.51141e+06
12  49  2.73988e+06
12  50  1.08326e+06
12  51  1.14582e+06
12  52  6.42268e+06
12  53  143948
12  54  0
12  55  1.14079e+06
12  56  3.94991e+06
12  57  1.56027e+06
12  58  3.78649e+06
12  59  2.34309e+06
12  60  1.92696e+06
12  61  6.07712e+06
12  62  6.61816e+06
12  63  1.9436e+06
12  64  4.33914e+06
12  65  1.71687e+06
12  66  4.7975e+06
12  67  0
12  68  4.8242e+06
12  69  3.93945e+06
12  70  1.00935e+06
12  71  7.88949e+06
12  72  7.50911e+06
12  73  8.24958e+06
12  74  1.17907e+07
12  75  1.43628e+07
12  76  1.15422e+07
12  77  7.42452e+06
12  78  1.03774e+07
12  79  4.79589e+06
12  80  4.97088e+06
