row  column  (images_16_017.edf Mn-K*images_16_017.edf Ar-K**2.3)
18  48  8.00515e+06
18  49  1.38964e+07
18  50  3.07722e+06
19  0  8.68241e+06
19  1  5.43358e+06
19  2  6.05888e+06
19  3  7.76017e+06
19  4  7.69003e+06
19  5  1.54752e+07
19  6  6.34422e+06
19  7  5.6042e+06
19  8  9.41281e+06
19  9  8.50489e+06
19  10  9.72516e+06
19  11  6.26359e+06
19  12  8.5416e+06
19  13  1.18695e+07
19  14  7.9429e+06
19  15  1.15612e+07
19  16  3.27355e+06
19  17  1.11355e+07
19  18  1.30436e+07
19  19  1.28701e+07
19  20  7.30907e+06
19  21  7.9815e+06
19  22  8.01462e+06
19  23  3.797e+06
19  24  7.59125e+06
19  25  7.07689e+06
19  26  7.87028e+06
19  27  1.30662e+07
19  28  7.18735e+06
19  29  1.09183e+07
19  30  9.30807e+06
19  31  1.28592e+07
19  32  9.68828e+06
19  33  9.80908e+06
19  34  4.47317e+06
19  35  9.35229e+06
19  36  2.42003e+06
19  37  8.8863e+06
19  38  1.12982e+07
19  39  4.79773e+06
19  40  1.21876e+07
19  41  6.35412e+06
19  42  1.02383e+07
19  43  1.34841e+07
19  44  8.68642e+06
19  45  1.05959e+07
19  46  4.76186e+06
19  47  1.27572e+07
19  48  9.73371e+06
19  49  9.36192e+06
19  50  6.67949e+06
20  0  6.6432e+06
20  1  1.26618e+07
20  2  5.88635e+06
20  3  9.81708e+06
20  4  9.15754e+06
20  5  8.92797e+06
20  6  8.76405e+06
20  7  9.10692e+06
20  8  8.18689e+06
20  9  7.27673e+06
20  10  4.15638e+06
20  11  8.1818e+06
20  12  7.42737e+06
20  13  8.49935e+06
20  14  5.29624e+06
20  15  7.74007e+06
20  16  1.00671e+07
20  17  7.49362e+06
20  18  6.37341e+06
20  19  7.70798e+06
20  20  1.16295e+07
20  21  9.18065e+06
20  22  1.15851e+07
20  23  7.60776e+06
20  24  1.12508e+07
20  25  1.12483e+07
20  26  1.01061e+07
20  27  1.11383e+07
20  28  1.30731e+07
20  29  6.38513e+06
20  30  9.93795e+06
20  31  1.25855e+07
20  32  5.40727e+06
20  33  6.39499e+06
20  34  1.03037e+07
20  35  7.4698e+06
20  36  7.17521e+06
20  37  1.37795e+07
20  38  9.1551e+06
20  39  1.08205e+07
20  40  1.32836e+07
20  41  1.59981e+07
20  42  5.72153e+06
20  43  1.15072e+07
20  44  1.07204e+07
20  45  7.14662e+06
20  46  1.37461e+07
20  47  1.13593e+07
20  48  1.02124e+07
20  49  1.08157e+07
20  50  4.94693e+06
21  0  1.03065e+07
21  1  1.2746e+07
21  2  1.28344e+07
21  3  6.08194e+06
21  4  9.42338e+06
21  5  5.83159e+06
21  6  7.80502e+06
21  7  9.34115e+06
21  8  8.11433e+06
21  9  1.20525e+07
21  10  1.24274e+07
21  11  8.96241e+06
21  12  1.52622e+07
21  13  1.23778e+07
21  14  3.30383e+06
21  15  7.86122e+06
21  16  8.23507e+06
21  17  6.40967e+06
21  18  9.19461e+06
21  19  8.7197e+06
21  20  1.20152e+07
21  21  7.54709e+06
21  22  1.42222e+07
21  23  8.88826e+06
21  24  9.87134e+06
21  25  9.77918e+06
21  26  8.00585e+06
21  27  6.61882e+06
21  28  1.04399e+07
21  29  1.30004e+07
21  30  7.20353e+06
21  31  1.09542e+07
21  32  5.58378e+06
21  33  1.09389e+07
21  34  8.43083e+06
21  35  1.11491e+07
21  36  1.18392e+07
21  37  9.538e+06
21  38  9.38357e+06
21  39  1.00116e+07
21  40  1.3278e+07
21  41  1.24551e+07
21  42  1.25593e+07
21  43  1.10807e+07
21  44  1.02376e+07
21  45  8.96986e+06
21  46  9.67215e+06
21  47  1.4205e+07
21  48  2.37065e+06
21  49  1.1184e+07
21  50  9.91455e+06
22  0  7.03624e+06
22  1  8.87408e+06
22  2  1.36127e+07
22  3  1.5442e+07
22  4  1.14085e+07
22  5  1.25708e+07
22  6  9.51246e+06
22  7  9.14712e+06
22  8  6.36843e+06
22  9  7.09246e+06
22  10  8.61759e+06
22  11  8.43407e+06
22  12  1.12596e+07
22  13  1.00357e+07
22  14  8.2269e+06
22  15  8.04845e+06
22  16  8.89578e+06
22  17  8.85732e+06
22  18  9.61593e+06
22  19  3.45317e+06
22  20  9.99e+06
22  21  8.92593e+06
22  22  1.34483e+07
22  23  1.01159e+07
22  24  1.26728e+07
22  25  9.1651e+06
22  26  1.80843e+06
