row  column  (images_12_23nov.edf Zn_K*images_12_23nov.edf Ar_K**2.3)
15  35  4.55799e+08
15  36  5.07814e+08
15  37  2.90546e+08
15  38  4.57359e+08
15  39  5.42803e+08
15  40  6.12567e+08
15  41  6.12491e+08
15  42  5.53924e+08
15  43  4.35993e+08
15  44  5.15083e+08
15  45  5.58927e+08
15  46  4.89033e+08
15  47  2.72282e+08
15  48  4.10167e+08
15  49  5.02641e+08
15  50  6.31503e+08
16  0  0
16  1  0
16  2  0
16  3  9.89948e+07
16  4  1.81221e+08
16  5  3.20756e+08
16  6  3.90762e+08
16  7  2.69607e+08
16  8  1.80601e+08
16  9  4.16724e+08
16  10  4.91661e+08
16  11  5.53538e+08
16  12  4.96175e+08
16  13  2.51917e+08
16  14  3.17693e+08
16  15  3.7686e+08
16  16  3.26413e+08
16  17  2.46187e+08
16  18  2.40684e+08
16  19  3.99057e+08
16  20  2.26144e+08
16  21  3.0388e+08
16  22  3.26834e+08
16  23  3.69171e+08
16  24  6.45597e+08
16  25  4.75706e+08
16  26  4.8018e+08
16  27  3.14487e+08
16  28  2.19253e+08
16  29  3.28236e+08
16  30  5.0847e+08
16  31  5.18315e+08
16  32  4.62975e+08
16  33  4.15962e+08
16  34  4.68241e+08
16  35  3.51273e+08
16  36  4.69106e+08
16  37  3.77048e+08
16  38  4.338e+08
16  39  5.97209e+08
16  40  6.59864e+08
16  41  6.89711e+08
16  42  5.6645e+08
16  43  5.76186e+08
16  44  5.35693e+08
16  45  4.8324e+08
16  46  4.73936e+08
16  47  3.58865e+08
16  48  4.10467e+08
16  49  6.00465e+08
16  50  7.13858e+08
17  0  8.44982e+06
17  1  6.46288e+07
17  2  0
17  3  6.14168e+07
17  4  1.37302e+08
17  5  2.75334e+08
17  6  4.08696e+08
17  7  2.85521e+08
17  8  1.70652e+08
17  9  4.61964e+08
17  10  6.41335e+08
17  11  4.51434e+08
17  12  3.96895e+08
17  13  2.29868e+08
17  14  3.39523e+08
17  15  4.05065e+08
17  16  2.47628e+08
17  17  2.8874e+08
17  18  3.675e+08
17  19  2.04875e+08
17  20  3.21767e+08
17  21  2.81775e+08
17  22  2.86277e+08
17  23  4.33584e+08
17  24  5.37726e+08
17  25  4.56619e+08
17  26  6.28492e+08
17  27  3.01997e+08
17  28  3.20153e+08
17  29  3.83084e+08
17  30  4.27884e+08
17  31  4.24428e+08
17  32  4.51524e+08
17  33  3.53059e+08
17  34  3.08391e+08
17  35  4.71028e+08
17  36  4.24805e+08
17  37  2.99014e+08
17  38  4.6782e+08
17  39  7.55381e+08
17  40  7.64568e+08
17  41  6.95914e+08
17  42  4.65604e+08
17  43  5.38595e+08
17  44  5.24927e+08
17  45  6.05061e+08
17  46  3.98726e+08
17  47  3.32629e+08
17  48  4.39635e+08
17  49  4.73599e+08
17  50  6.38583e+08
18  0  0
18  1  8.33647e+07
18  2  4.24981e+06
18  3  2.58803e+07
18  4  2.03995e+08
18  5  1.8228e+08
18  6  3.13025e+08
18  7  2.41653e+08
18  8  3.43904e+08
18  9  3.74688e+08
18  10  5.08531e+08
18  11  4.12133e+08
18  12  3.87703e+08
18  13  2.44854e+08
18  14  2.9195e+08
18  15  5.23024e+08
18  16  2.29799e+08
18  17  2.6438e+08
18  18  1.74487e+08
18  19  1.5202e+08
18  20  2.69879e+08
18  21  2.27807e+08
18  22  3.24016e+08
18  23  3.34138e+08
18  24  4.89543e+08
18  25  4.39705e+08
18  26  4.8702e+08
18  27  3.25496e+08
18  28  2.86923e+08
18  29  3.32053e+08
18  30  4.8557e+08
18  31  3.38742e+08
18  32  4.01354e+08
18  33  5.19476e+08
18  34  4.06123e+08
18  35  4.06822e+08
18  36  5.42441e+08
18  37  4.11446e+08
18  38  4.28983e+08
18  39  6.91864e+08
18  40  6.32629e+08
18  41  6.09524e+08
18  42  6.06117e+08
18  43  5.00921e+08
18  44  5.19172e+08
18  45  5.68299e+08
18  46  3.13759e+08
18  47  3.381e+08
18  48  2.93324e+08
18  49  6.2197e+08
18  50  5.04192e+08
19  0  6.21796e+07
19  1  2.20074e+07
19  2  1.16176e+08
19  3  1.09262e+08
19  4  2.07161e+08
19  5  3.0098e+08
19  6  2.48287e+08
19  7  4.09605e+08
19  8  3.24286e+08
19  9  3.08249e+08
19  10  4.95179e+08
19  11  4.63228e+08
19  12  2.53437e+08
19  13  1.85663e+08
19  14  5.39899e+08
19  15  4.65842e+08
19  16  2.37334e+08
19  17  1.67065e+08
19  18  1.87178e+08
19  19  3.51116e+08
19  20  3.8064e+08
19  21  2.44455e+08
19  22  3.15869e+08
19  23  3.26751e+08
19  24  3.94124e+08
19  25  4.68115e+08
19  26  4.51189e+08
19  27  3.83773e+08
19  28  4.29876e+08
19  29  3.37961e+08
19  30  4.05218e+08
19  31  3.18456e+08
19  32  3.17186e+08
19  33  4.30507e+08
19  34  4.76222e+08
19  35  3.88347e+08
19  36  5.18893e+08
19  37  4.60279e+08
19  38  4.54485e+08
19  39  6.16668e+08
19  40  7.22803e+08
19  41  5.38055e+08
19  42  5.24202e+08
19  43  3.83911e+08
19  44  5.57222e+08
19  45  5.60953e+08
19  46  3.06149e+08
19  47  3.34289e+08
19  48  3.24866e+08
19  49  5.06584e+08
19  50  5.26207e+08
20  0  0
20  1  6.12489e+07
20  2  1.65835e+08
20  3  8.42045e+07
20  4  3.08869e+08
20  5  2.83481e+08
20  6  2.83884e+08
20  7  3.01671e+08
20  8  2.36919e+08
20  9  3.77333e+08
20  10  4.22662e+08
20  11  4.5634e+08
20  12  1.32062e+08
20  13  2.0535e+08
20  14  4.12429e+08
20  15  3.96931e+08
20  16  2.76406e+08
20  17  2.27564e+08
20  18  2.71167e+08
20  19  3.15087e+08
20  20  3.46902e+08
20  21  3.17461e+08
20  22  3.36019e+08
20  23  3.15268e+08
20  24  4.88174e+08
20  25  4.99936e+08
20  26  5.78169e+08
20  27  4.38134e+08
20  28  3.13318e+08
20  29  4.22765e+08
20  30  4.68696e+08
20  31  3.3823e+08
20  32  2.92363e+08
20  33  3.54125e+08
20  34  4.70569e+08
20  35  4.72154e+08
20  36  3.63834e+08
20  37  4.07278e+08
20  38  4.87911e+08
20  39  5.42476e+08
20  40  7.19263e+08
20  41  5.5183e+08
20  42  3.98426e+08
20  43  4.86115e+08
20  44  5.64794e+08
20  45  5.7256e+08
20  46  3.71186e+08
20  47  2.93993e+08
20  48  1.94944e+08
20  49  5.09605e+08
20  50  5.31986e+08
